nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
KABUPATEN BOGOR,1511.15,TON PER HARI,2015
KABUPATEN SUKABUMI,419.01,TON PER HARI,2015
KABUPATEN CIANJUR,981.41,TON PER HARI,2015
KABUPATEN BANDUNG,1895.94,TON PER HARI,2015
KABUPATEN GARUT,464.74,TON PER HARI,2015
KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2015
KABUPATEN CIAMIS,260.91,TON PER HARI,2015
KABUPATEN KUNINGAN,251.7,TON PER HARI,2015
KABUPATEN CIREBON,465.75,TON PER HARI,2015
KABUPATEN MAJALENGKA,254.63,TON PER HARI,2015
KABUPATEN SUMEDANG,237.96,TON PER HARI,2015
KABUPATEN INDRAMAYU,613.18,TON PER HARI,2015
KABUPATEN SUBANG,487.26,TON PER HARI,2015
KABUPATEN PURWAKARTA,308.96,TON PER HARI,2015
KABUPATEN KARAWANG,869.86,TON PER HARI,2015
KABUPATEN BEKASI,1228.6,TON PER HARI,2015
KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2015
KABUPATEN PANGANDARAN,185.83,TON PER HARI,2015
KOTA BOGOR,991.93,TON PER HARI,2015
KOTA SUKABUMI,309.91,TON PER HARI,2015
KOTA BANDUNG,2448.63,TON PER HARI,2015
KOTA CIREBON,304.15,TON PER HARI,2015
KOTA BEKASI,2387.08,TON PER HARI,2015
KOTA DEPOK,1844.3,TON PER HARI,2015
KOTA CIMAHI,563.21,TON PER HARI,2015
KOTA TASIKMALAYA,472.36,TON PER HARI,2015
KOTA BANJAR,130.21,TON PER HARI,2015
KABUPATEN BOGOR,1511.15,TON PER HARI,2016
KABUPATEN SUKABUMI,419.01,TON PER HARI,2016
KABUPATEN CIANJUR,981.41,TON PER HARI,2016
KABUPATEN BANDUNG,1895.94,TON PER HARI,2016
KABUPATEN GARUT,464.74,TON PER HARI,2016
KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2016
KABUPATEN CIAMIS,260.91,TON PER HARI,2016
KABUPATEN KUNINGAN,251.7,TON PER HARI,2016
KABUPATEN CIREBON,465.75,TON PER HARI,2016
KABUPATEN MAJALENGKA,254.63,TON PER HARI,2016
KABUPATEN SUMEDANG,237.96,TON PER HARI,2016
KABUPATEN INDRAMAYU,613.18,TON PER HARI,2016
KABUPATEN SUBANG,487.26,TON PER HARI,2016
KABUPATEN PURWAKARTA,308.96,TON PER HARI,2016
KABUPATEN KARAWANG,869.86,TON PER HARI,2016
KABUPATEN BEKASI,1228.6,TON PER HARI,2016
KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2016
KABUPATEN PANGANDARAN,185.83,TON PER HARI,2016
KOTA BOGOR,991.93,TON PER HARI,2016
KOTA SUKABUMI,309.91,TON PER HARI,2016
KOTA BANDUNG,2448.63,TON PER HARI,2016
KOTA CIREBON,304.15,TON PER HARI,2016
KOTA BEKASI,2387.08,TON PER HARI,2016
KOTA DEPOK,1844.3,TON PER HARI,2016
KOTA CIMAHI,563.21,TON PER HARI,2016
KOTA TASIKMALAYA,472.36,TON PER HARI,2016
KOTA BANJAR,130.21,TON PER HARI,2016
KABUPATEN BOGOR,1511.15,TON PER HARI,2017
KABUPATEN SUKABUMI,419.01,TON PER HARI,2017
KABUPATEN CIANJUR,981.41,TON PER HARI,2017
KABUPATEN BANDUNG,1895.94,TON PER HARI,2017
KABUPATEN GARUT,464.74,TON PER HARI,2017
